folioviv,foliohog,numren,id_trabajo,tipoact,numprod,codigo,cosecha,destino,cantidad,valestim
0160146614,1,02,1,5,02,254,0,6,2,500
0160146817,1,01,1,4,01,141,1,1,1000,6000
0160146817,1,01,1,4,01,141,1,2,5000,30000
0160146817,1,01,1,4,01,141,1,6,1050,5400
0160146817,1,01,1,4,02,088,1,6,400,2100
0160146817,1,01,1,4,03,194,1,2,3000,18000
0160146817,1,01,1,5,03,284,0,1,240,1440
0160146819,1,02,1,4,04,098,1,1,250,3750
0160146819,1,02,1,4,03,194,1,2,250,750
0160146819,1,02,1,4,05,206,1,2,150,450
0160146819,1,02,1,4,06,010,1,2,630,1980
0160146819,1,02,1,4,01,141,1,2,500,4000
0160146819,1,02,1,4,02,088,1,1,3,24
0160148203,1,01,1,4,01,161,1,6,30,23
0160148203,1,01,1,4,01,161,1,1,90,68
0160148223,1,01,1,4,02,132,1,6,90,540
0160148223,1,01,1,4,02,132,1,4,1116,6500
0160148223,1,01,1,4,01,112,1,6,100,500
0160148223,1,01,1,4,01,112,1,4,1240,6000
0160148223,1,01,1,4,02,132,1,3,144,864
0160148223,1,01,1,4,02,132,1,1,18,90
0160148223,1,01,1,4,01,112,1,3,240,960
0160148223,1,01,1,4,01,112,1,1,20,60
0160156018,1,01,1,4,01,140,1,1,160,480
0160156018,1,01,1,4,02,194,1,2,500,1000
0160156020,1,01,1,4,01,140,1,1,300,900
0160156315,1,01,1,4,03,200,1,2,10000,45000
0160156315,1,01,1,4,01,140,1,2,8000,36000
0160156404,1,03,1,4,01,140,1,2,2000,9400
0160156404,1,03,1,4,02,194,1,2,1000,2000
0160156405,1,03,1,4,01,140,1,1,500,1500
0160156405,1,03,1,4,01,140,1,2,1500,4500
0160156405,1,03,1,4,02,194,1,2,1000,2000
0160156906,1,01,1,4,03,200,1,2,4000,18000
0160156906,1,01,1,4,02,141,1,2,1000,7000
0160156906,1,01,1,4,01,161,1,2,1185,17775
0160156906,1,01,1,4,01,161,1,1,15,225
0160156906,1,01,1,5,08,246,0,1,1,3000
0160159202,1,01,1,5,01,240,0,4,6,60000
0160159202,1,01,1,4,02,141,1,2,7000,24000
0160159202,1,01,1,4,01,161,1,1,150,500
0160159202,1,01,1,4,01,161,1,2,5000,15000
0160159513,1,01,1,5,03,284,0,6,366,2745
0160159513,1,01,1,4,01,140,1,2,3000,13500
0160159513,1,01,1,5,03,284,0,1,730,5475
0160159513,1,01,1,4,02,098,1,6,100,2000
0160159513,1,01,1,4,02,098,1,1,300,6000
0160159616,1,01,1,4,01,112,1,1,75,375
0160167318,1,03,1,5,04,241,0,1,1,1300
0160167318,1,03,1,4,02,194,1,2,2000,8000
0160167318,1,03,1,4,01,140,1,2,200,1000
0160175318,1,01,1,4,03,194,1,2,4000,7200
0160175318,1,01,1,4,02,088,1,6,2960,65120
0160175318,1,01,1,4,02,088,1,1,40,880
0160175318,1,01,1,4,01,140,1,6,4000,18000
0160175318,1,01,1,4,01,140,1,2,8000,36000
0160175318,1,01,1,5,03,284,0,1,150,900
0160175319,1,01,1,5,03,284,0,6,520,2860
0160175319,1,01,1,5,03,284,0,1,208,1144
0160175320,1,02,1,4,01,140,1,2,5000,25000
0160175320,1,02,1,4,02,088,1,1,40,880
0160175320,1,02,1,5,03,284,0,1,208,1310
0160175320,1,02,1,4,03,194,1,3,5000,12500
0160175320,1,02,1,4,03,194,1,2,5000,12500
0160175320,1,02,1,4,01,140,1,3,5000,25000
0160175320,1,02,1,4,02,088,1,6,960,21120
0160175406,1,01,1,4,02,088,1,1,24,456
0160175406,1,01,1,4,01,140,1,2,10000,38000
0160175406,1,01,1,4,03,194,1,2,8000,22400
0160175408,1,01,1,4,03,194,1,2,4000,12000
0160175408,1,01,1,5,01,264,0,3,1,13000
0160175408,1,01,1,5,03,284,0,1,728,4732
0160175408,1,01,1,4,02,088,1,1,10,210
0160175408,1,01,1,4,01,140,1,2,15000,45000
0160175911,1,01,1,5,01,240,0,1,1,10000
0160175911,1,01,1,4,01,141,1,2,100000,100000
0160175911,1,01,1,5,03,284,0,1,260,3120
0160175913,1,01,1,5,03,284,0,1,156,1014
0160175913,1,01,1,4,01,141,1,2,10,40000
0160179318,1,01,2,5,01,241,0,1,1,1800
0160179401,1,01,1,5,06,275,0,1,1,1000
0160179401,1,01,1,5,04,241,0,1,2,4000
0160179401,1,01,1,5,01,268,0,4,2,14000
0160179401,1,01,1,5,01,268,0,1,2,40000
0160179401,1,01,1,4,01,026,1,2,7500,39975
0160186604,1,01,2,5,04,279,0,1,104,1600
0160192424,1,01,1,4,01,140,1,2,80,160
0160192424,1,01,1,4,01,140,1,1,820,3280
0160192424,1,01,1,4,02,088,1,1,80,320
0160192424,1,01,1,4,03,194,1,2,3000,3000
0160195218,1,03,2,5,03,284,0,2,484,4840
0160195218,1,03,2,5,03,284,0,6,152,1520
0160195218,1,03,2,5,03,284,0,1,453,4530
0160195218,1,03,2,4,01,141,1,2,5000,17500
0160195220,1,01,2,5,03,284,0,6,750,7500
0160195220,1,01,2,5,03,284,0,1,450,4500
0160195220,1,01,2,4,03,088,1,1,8,180
0160195220,1,01,2,4,02,194,1,2,1500,5200
0160195220,1,01,2,4,01,140,1,2,50,400
0160195307,1,01,1,4,02,088,1,1,100,2000
0160195307,1,01,1,5,03,240,0,5,3,35000
0160195307,1,01,1,5,03,240,0,4,6,60000
0160195307,1,01,1,5,03,240,0,3,10,120000
0160195307,1,01,1,5,02,284,0,3,5000,40000
0160195307,1,01,1,5,02,284,0,2,29856,238848
0160195307,1,01,1,5,02,284,0,1,600,10752
0160195307,1,01,1,5,01,268,0,7,3,40000
0160195307,1,01,1,5,01,268,0,4,10,200000
0160195307,1,01,1,4,02,088,1,6,150,3000
0160195307,1,01,1,4,01,140,1,2,25000,75000
0160195307,1,01,1,5,04,263,0,6,2,200
0160195307,1,01,1,5,04,263,0,1,3,300
0160195308,1,01,1,5,02,284,0,2,43800,284700
0160195308,1,01,1,4,01,141,1,2,170000,170000
0160195310,1,01,1,5,01,268,0,4,2,20000
0160195310,1,01,1,5,02,284,0,1,780,4680
0160195310,1,01,1,5,02,284,0,6,500,3000
0160195310,1,01,1,5,01,268,0,1,1,8000
0160195310,1,01,1,5,01,268,0,7,1,8000
0160195311,1,01,1,5,02,284,0,1,1095,6570
0160195311,1,01,1,5,02,284,0,3,160,960
0160195903,1,01,2,5,02,284,0,2,19705,108378
0160195903,1,01,2,5,02,284,0,1,1095,6570
0160195904,1,01,1,5,04,284,0,1,730,5110
0160195904,1,01,1,5,04,284,0,2,30295,181770
0160195905,1,01,1,5,04,284,0,2,54000,324000
0160198416,1,03,1,5,02,279,0,1,51,2040
0160198417,1,01,1,5,03,284,0,1,5325,26625
0160206020,1,02,1,5,01,246,0,1,3,6000
0160207311,1,01,1,5,01,268,0,1,1,15000
0160207311,1,01,1,4,04,026,1,2,10000,12500
0160207314,1,01,1,4,02,098,1,1,200,3000
0160207314,1,01,1,4,03,194,1,2,3000,3000
0160207314,1,01,1,4,02,098,1,2,30,450
0160207401,1,01,1,5,03,279,0,1,20,600
0160207907,1,01,1,4,01,140,1,1,3000,12000
0160207907,1,01,1,4,02,098,1,1,100,1500
0160207907,1,01,1,4,01,140,1,2,2000,8000
0160207907,1,01,1,4,03,194,1,2,7000,7000
0160207907,1,01,1,4,02,098,1,2,1000,1500
0160212001,1,01,1,5,02,274,0,1,1,1350
0160212001,1,01,1,5,02,274,0,3,2,2000
0160212001,1,01,1,5,02,274,0,7,1,1350
0160212004,1,01,1,4,01,141,1,2,15,180
0160212214,1,02,1,5,08,262,0,6,1,30
0160212214,1,02,1,5,01,241,0,6,1,1200
0160212214,1,02,1,5,01,241,0,1,1,1000
0160212214,1,02,1,5,09,279,0,6,1,38
0160212214,1,02,1,5,09,279,0,1,182,5460
0160212214,1,02,1,5,04,275,0,6,1,900
0160212214,1,02,1,5,07,250,0,6,2,200
0160212214,1,02,1,5,07,250,0,1,5,500
0160212218,1,01,2,5,03,269,0,7,1,15000
0160212218,1,01,2,4,05,194,1,2,1000,10000
0160212218,1,01,2,4,01,140,1,2,1500,10000
0160212319,1,01,2,5,05,284,0,2,10176,101760
0160212319,1,01,2,5,05,284,0,1,1344,13440
0160212907,1,01,1,4,01,140,1,1,50,250
0160212907,1,01,1,4,03,088,1,1,15,90
0160212907,1,01,1,4,02,039,1,1,4,40
0160228512,1,01,1,4,01,140,1,1,40,200
0160228512,1,01,1,4,02,088,1,1,280,1470
0160228512,1,01,1,5,01,241,0,1,1,1800
0160228512,1,01,1,4,04,098,1,1,70,600
0160228512,1,01,1,4,03,002,1,2,720,720
0160228616,1,01,1,5,02,284,0,6,300,2025
0160228616,1,01,1,5,04,275,0,1,7,14000
0160228616,1,01,1,5,02,284,0,1,180,1206
0160228616,1,01,1,4,03,010,1,2,10000,50000
0160228616,1,01,1,4,02,200,1,2,10000,50000
0160228616,1,01,1,4,01,141,1,2,60000,300000
0160228707,1,01,2,5,01,244,0,1,3,2700
0160228708,1,01,1,4,01,140,1,1,105,525
0160228708,1,01,1,4,01,140,1,2,20,50
0160228708,1,01,1,4,02,088,1,1,100,400
0160228708,1,01,1,4,03,194,1,6,1000,3500
0160228708,1,01,1,4,05,087,1,1,2,12
0160228708,1,01,1,4,04,098,1,2,50,200
0160228708,1,01,1,4,04,098,1,1,50,400
0160235518,1,01,2,5,03,279,0,1,130,3640
0160235812,1,01,1,5,05,279,0,6,11,330
0160235812,1,01,1,5,05,279,0,1,58,1566
0160235812,1,01,1,5,03,284,0,1,240,960
0160235812,1,01,1,5,03,284,0,6,140,630
0160248319,1,01,2,4,05,152,1,1,40,800
0160248319,1,01,2,4,03,193,1,2,1,30
0160248319,1,01,2,4,03,193,1,1,4,120
0160248319,1,01,2,4,01,211,1,1,120,1800
0160248319,1,01,2,4,01,211,1,2,40,300
0160248319,1,01,2,4,01,211,1,6,40,600
0160248319,1,01,2,4,02,079,1,1,200,10000
0160248319,1,01,2,4,04,174,1,1,60,90
0160248319,1,01,2,4,04,174,1,2,30,50
0160248319,1,01,2,4,04,174,1,6,30,50
0160248319,1,01,2,4,03,193,1,6,1,30
0160248319,1,01,2,4,06,039,1,1,80,1200
0160248319,1,01,2,4,09,054,1,1,11,147
0160248319,1,01,2,4,09,054,1,6,4,53
0160248319,1,01,2,4,10,198,1,1,40,800
0160248319,1,01,2,5,01,246,0,1,2,5000
0160248319,1,01,2,5,01,246,0,3,4,10000
0160248319,1,01,2,5,01,246,0,6,1,2500
0160248319,1,01,2,4,02,079,1,6,50,2500
0160248320,1,01,2,4,01,097,1,7,1,60
0160248320,1,01,2,4,01,097,1,6,23,1380
0160248320,1,01,2,4,01,097,1,1,25,1500
0160248321,1,02,1,5,01,246,0,1,1,1500
0160248321,1,02,1,5,05,262,0,1,3,150
0160248321,1,02,1,5,06,279,0,1,111,3330
0160248321,1,02,1,5,07,241,0,7,13,13000
0160248410,1,01,1,5,01,250,0,1,1,100
0160248410,1,01,1,5,02,254,0,1,1,400
0160248802,1,01,1,4,03,098,1,1,200,2800
0160248913,1,01,2,4,01,098,1,1,150,6000
0160248914,1,01,2,4,05,194,1,2,6000,9000
0160248914,1,01,2,4,01,026,1,2,2500,3750
0160248914,1,01,2,4,04,088,1,6,400,800
0160248914,1,01,2,4,04,088,1,1,200,400
0160248914,1,01,2,4,02,140,1,2,2000,6000
0160248914,1,01,2,4,04,088,1,2,1400,1400
0160248915,1,01,1,5,01,268,0,1,1,7000
0160248915,1,01,1,4,04,194,1,2,5000,17500
0160248915,1,01,1,4,03,087,1,1,3,30
0160248915,1,01,1,4,02,098,1,6,100,1500
0160248915,1,01,1,4,02,098,1,1,10,150
0160248915,1,01,1,4,02,098,1,2,190,1330
0160254024,1,01,1,5,04,251,0,1,7,1050
0160254024,1,01,1,5,03,279,0,1,16,800
0160254024,1,01,1,5,02,254,0,7,1,350
0160254024,1,01,1,5,02,254,0,1,3,1050
0160254906,1,01,1,4,02,088,1,1,40,240
0160254906,1,01,1,4,02,088,1,6,80,480
0160254906,1,01,1,4,01,141,1,2,100,400
0160255220,1,01,2,5,01,240,0,3,2,6000
0160255220,1,01,2,5,03,279,0,1,172,6192
0160255220,1,01,2,5,02,250,0,1,2,200
0160255220,1,01,2,5,03,279,0,6,12,432
0160255310,1,01,1,5,03,283,0,2,600,6000
0160255310,1,01,1,5,03,283,0,6,260,2600
0160255310,1,01,1,5,03,283,0,1,820,8200
0160255310,1,01,1,5,02,274,0,6,1,600
0160260003,1,01,2,5,03,279,0,1,12,600
0160260212,1,01,1,5,02,284,0,1,300,1650
0160260212,1,01,1,4,01,141,1,2,3000,15000
0160260519,1,01,1,5,03,284,0,1,220,1100
0160260523,1,01,1,5,03,284,0,6,1005,10050
0160260523,1,01,1,5,03,284,0,1,335,1675
0160260714,1,02,1,4,01,140,1,2,4000,10000
0160260714,1,02,1,5,05,279,0,6,88,3168
0160260714,1,02,1,4,02,088,1,1,33,297
0160260714,1,02,1,5,02,240,0,1,2,20000
0160260714,1,02,1,5,05,279,0,1,89,3204
0160260714,1,02,1,4,02,088,1,2,5000,30000
0160260714,1,02,1,4,03,194,1,2,4000,10000
0160260715,1,01,1,4,01,141,1,2,1500,5250
0160260715,1,01,1,5,06,279,0,1,36,1008
0160260715,1,01,1,5,02,240,0,1,1,3000
0204739403,1,02,2,5,04,294,0,1,192,6336
0204739403,1,02,2,5,02,279,0,1,156,12480
0204739403,1,02,2,5,01,250,0,1,2,600
0207987411,1,05,1,5,02,286,0,1,20,2000
0207987411,1,05,1,5,02,286,0,6,20,2000
0207987912,1,01,1,5,02,286,0,1,19,2850
0260003317,1,02,2,5,02,251,0,1,6,1200
0260003317,1,02,2,5,04,279,0,1,80,2400
0260003317,1,02,2,5,01,250,0,1,3,750
0260035223,1,02,1,5,03,284,0,6,48000,336
0260035223,1,02,1,5,03,284,0,2,2190,21750
0260035223,1,02,1,5,03,284,0,1,416,2912
0260146802,1,01,1,9,01,544,0,6,240,96000
0260146802,1,01,1,9,01,544,0,1,120,48000
0260155013,1,01,1,4,02,194,1,2,8000,30000
0260155013,1,01,1,4,02,194,1,6,800,2500
0260155216,1,01,1,5,06,279,0,1,3000,12000
0260155216,1,01,1,5,05,284,0,2,15000,300000
0260156819,1,01,1,4,02,098,1,1,50,1000
0260156819,1,01,1,4,04,194,1,6,20,100
0260156819,1,01,1,4,01,039,1,6,75,450
0260156819,1,01,1,4,01,039,1,1,675,4050
0260156820,1,01,1,4,02,194,1,6,1000,5000
0260164407,1,04,1,4,01,049,1,1,32,288
0260164407,1,04,1,4,02,194,1,2,4000,400
0260164407,1,04,1,4,01,049,1,5,5184,46656
0260164407,1,04,1,4,01,049,1,4,320,2880
0260164407,1,04,1,4,01,049,1,3,320,2880
0260164407,1,04,1,4,01,049,1,6,320,2880
0260164407,1,02,1,4,01,020,1,1,10,240
0260196301,1,01,1,4,01,217,1,1,25,300
0260196301,1,01,1,4,02,161,1,1,20,260
0260196302,1,01,1,4,01,161,1,6,20,338
0260196302,1,01,1,4,01,161,1,1,40,680
0260196302,1,01,1,4,02,217,1,1,25,650
0260196303,1,01,1,4,01,161,1,1,40,676
0260196303,1,01,1,4,02,217,1,1,25,697
0260196303,1,01,1,4,01,161,1,6,40,676
0260208905,1,01,1,4,03,229,1,1,45,1778
0260208905,1,01,1,4,02,194,1,2,50,1500
0260246315,1,01,1,5,02,244,0,4,120,2880
0260246315,1,01,1,5,02,244,0,3,80,1920
0260246315,1,01,1,5,01,241,0,3,280,6720
0260246315,1,01,1,5,01,241,0,4,320,7680
0260246401,1,01,2,4,01,159,1,1,90,105
0260246401,1,01,2,4,01,159,1,6,30,35
0260246401,1,01,2,4,03,133,1,6,30,35
0260246906,1,01,2,4,01,010,1,4,55000,150000
0260246906,1,01,2,4,02,215,1,4,22000,130000
0260255913,1,02,1,5,01,241,0,3,640,12800
0260255913,1,02,1,5,01,241,0,4,80,1600
0260255913,1,02,1,5,01,241,0,6,240,4800
0260255913,1,02,1,5,01,241,0,1,160,3200
0260255918,1,01,1,4,01,054,1,6,25,200
0260255918,1,01,1,4,03,220,1,6,21,150
0260255918,1,01,1,4,03,220,1,2,4200,30000
0260255918,1,01,1,4,02,001,1,6,8,80
0260267011,1,01,2,5,01,244,0,1,1,1800
0260267011,1,01,2,5,01,244,0,3,1,1800
0260267012,1,01,2,5,01,241,0,1,1,1200
0260267012,1,01,2,5,01,241,0,6,1,1200
0260269207,1,01,1,5,02,286,0,1,1,150
0260269207,1,01,1,5,02,286,0,6,1,150
0260301622,1,01,1,5,01,268,0,2,4,40000
0260308714,1,01,1,5,02,279,0,1,67,4000
0260308714,1,01,1,5,02,279,0,6,67,4000
0260312304,1,01,1,5,02,286,0,6,7,2800
0260312304,1,01,1,5,02,286,0,1,1,400
0260368519,1,01,2,4,02,211,1,1,8,90
0260368519,1,01,2,4,01,161,1,1,15,120
0260368519,1,01,2,4,01,161,1,6,6,48
0260380217,1,01,1,5,01,246,0,1,4,6000
0260380217,1,01,1,5,01,246,0,6,1,1500
0300034203,1,01,2,4,01,161,1,1,1,40
0300142005,1,02,1,9,01,522,0,6,4,360
0300142005,1,02,1,9,01,522,0,1,6,540
0300181405,1,01,1,9,01,522,0,1,288,11520
0300280402,1,01,1,9,01,566,0,1,4,160
0300280402,1,01,1,9,04,520,0,6,15,270
0300280402,1,01,1,9,01,566,0,6,1,40
0300280402,1,01,1,9,02,522,0,1,7,126
0300280402,1,01,1,9,02,522,0,6,3,54
0300280402,1,01,1,9,03,559,0,1,10,180
0300280402,1,01,1,9,04,520,0,1,10,180
0300280402,1,01,1,9,03,559,0,6,5,90
0300319405,1,03,2,4,01,161,1,1,3,45
0300319405,1,08,1,6,01,473,0,7,38,1200
0300319405,1,03,2,4,01,161,1,2,4,60
0300319405,1,08,1,6,01,473,0,1,19,720
0300319405,1,03,2,4,03,133,1,1,12,180
0300356802,1,01,1,9,01,538,0,1,5,400
0300356802,1,01,1,9,04,543,0,6,3,240
0300356802,1,01,1,9,04,543,0,3,2,160
