folioviv,foliohog,numren,id_trabajo,tipoact,clave,gasto
0102331718,1,01,1,5,C06,20000
0102331718,1,01,1,5,C00,62600
0102331718,1,01,1,5,C11,1500
0102331718,1,01,1,5,C10,300
0102331718,1,01,1,5,C09,700
0102331718,1,01,1,5,C07,14000
0102331718,1,01,1,5,C04,4000
0102339419,1,02,2,5,C01,17400
0102339419,1,01,1,5,C00,3860
0102339419,1,01,1,5,C08,3720
0102339419,1,01,1,5,C10,140
0102339419,1,02,2,5,C10,1200
0102339419,1,02,2,5,C08,6000
0102339419,1,02,2,5,C07,4250
0102339419,1,02,2,5,C00,28850
0102339419,1,02,2,4,B10,4500
0102339419,1,02,2,4,B09,3000
0102339419,1,02,2,4,B02,4500
0102339419,1,02,2,4,B00,12000
0102339605,1,01,1,5,C10,10000
0102339605,1,01,1,4,B02,5000
0102339605,1,01,1,4,B10,1500
0102339605,1,01,1,4,B09,3750
0102339605,1,01,1,4,B06,2500
0102339605,1,01,1,4,B04,1500
0102339605,1,01,1,5,C09,5000
0102339605,1,01,1,5,C00,15000
0102339605,1,01,1,4,B00,14250
0102339613,1,01,1,5,C10,2000
0102339613,1,01,1,5,C09,100
0102339613,1,01,1,5,C08,30000
0102339613,1,01,1,5,C06,28800
0102339613,1,01,1,5,C02,4000
0102339613,1,01,1,4,B00,16300
0102339613,1,01,1,4,B11,400
0102339613,1,01,1,4,B10,1800
0102339613,1,01,1,4,B09,2500
0102339613,1,01,1,4,B07,1600
0102339613,1,01,1,4,B02,10000
0102339613,1,01,1,5,C00,64900
0102339814,1,01,1,4,B11,5000
0102339814,1,01,1,4,B15,72000
0102339814,1,01,1,5,C00,33000
0102339814,1,01,1,5,C03,3000
0102339814,1,01,1,5,C07,17000
0102339814,1,01,1,5,C08,10000
0102339814,1,01,1,5,C10,3000
0102339814,1,01,1,4,B00,174000
0102339814,1,01,1,4,B01,20000
0102339814,1,01,1,4,B02,9000
0102339814,1,01,1,4,B04,10000
0102339814,1,01,1,4,B06,36000
0102339814,1,01,1,4,B07,5000
0102339814,1,01,1,4,B09,12000
0102339814,1,01,1,4,B10,5000
0160009814,1,01,2,4,B06,400
0160009814,1,01,2,4,B02,1000
0160009814,1,01,2,4,B00,6234
0160009814,1,01,2,4,B11,700
0160009814,1,01,2,4,B08,3000
0160009814,1,01,2,4,B07,1134
0160009908,1,01,1,5,C08,216000
0160009908,1,01,1,5,C09,12000
0160009908,1,01,1,5,C10,6800
0160009908,1,01,1,5,C04,2000
0160009908,1,01,1,5,C00,242800
0160009908,1,01,1,4,B07,788
0160009908,1,01,1,4,B06,24000
0160009908,1,01,1,5,C13,6000
0160009908,1,01,1,4,B00,44788
0160009908,1,01,1,4,B02,20000
0160015012,1,01,1,5,C08,3000
0160015012,1,01,1,5,C00,3250
0160015012,1,01,1,5,C10,250
0160015721,1,01,2,5,C08,1700
0160015721,1,01,2,5,C07,6000
0160015721,1,01,2,5,C10,230
0160015721,1,01,2,5,C00,7930
0160027507,1,01,1,4,B06,80000
0160027507,1,01,1,4,B04,45000
0160027507,1,01,1,4,B15,76000
0160027507,1,01,1,4,B11,50000
0160027507,1,01,1,4,B10,20000
0160027507,1,01,1,4,B09,25000
0160027507,1,01,1,4,B07,60000
0160027507,1,01,1,4,B00,356000
0160027510,1,01,1,4,B00,231200
0160027510,1,01,1,4,B11,5000
0160027510,1,01,1,4,B10,10000
0160027510,1,01,1,4,B07,10000
0160027510,1,01,1,4,B06,54000
0160027510,1,01,1,4,B04,5000
0160027510,1,01,1,4,B15,147200
0160028021,1,02,1,5,C10,500
0160028021,1,02,1,5,C09,400
0160028021,1,02,1,5,C08,2240
0160028021,1,02,1,5,C07,8000
0160028021,1,02,1,5,C06,16800
0160028021,1,02,1,5,C00,27940
0160028021,1,02,1,4,B15,8000
0160028021,1,02,1,4,B11,6000
0160028021,1,02,1,4,B10,7000
0160028021,1,02,1,4,B09,7000
0160028021,1,02,1,4,B07,2400
0160028021,1,02,1,4,B06,4200
0160028021,1,02,1,4,B04,2000
0160028021,1,02,1,4,B02,9500
0160028021,1,02,1,4,B00,58100
0160028021,1,02,1,4,B01,12000
0160028318,1,01,1,4,B09,1000
0160028318,1,01,1,4,B10,2600
0160028318,1,01,1,4,B11,750
0160028318,1,01,1,4,B15,1500
0160028318,1,01,1,4,B00,8350
0160028318,1,01,1,4,B02,2500
0160028402,1,01,1,4,B15,260000
0160028402,1,01,1,4,B21,72000
0160028402,1,01,1,5,C00,239500
0160028402,1,01,1,5,C07,80000
0160028402,1,01,1,5,C06,40000
0160028402,1,01,1,5,C10,10000
0160028402,1,01,1,5,C08,109500
0160028402,1,01,1,4,B10,27600
0160028402,1,01,1,4,B07,15000
0160028402,1,01,1,4,B06,200000
0160028402,1,01,1,4,B05,30000
0160028402,1,01,1,4,B01,20000
0160028402,1,01,1,4,B00,704600
0160028402,1,01,1,4,B11,80000
0160036619,1,01,1,4,B00,105000
0160036619,1,01,1,4,B04,1000
0160036619,1,01,1,4,B06,33600
0160036619,1,01,1,4,B09,4800
0160036619,1,01,1,4,B10,1600
0160036619,1,01,1,4,B11,900
0160036619,1,01,1,4,B21,700
0160036619,1,01,1,4,B15,62400
0160036621,1,01,1,5,C10,2000
0160036621,1,01,1,5,C08,34400
0160036621,1,01,1,5,C00,36400
0160036621,1,01,1,4,B10,2800
0160036621,1,01,1,4,B07,800
0160036621,1,01,1,4,B00,4800
0160036621,1,01,1,4,B02,1200
0160038323,1,01,2,4,B07,1200
0160038323,1,01,2,5,C00,3100
0160038323,1,01,2,5,C09,1000
0160038323,1,01,2,5,C10,100
0160038323,1,01,2,4,B11,300
0160038323,1,01,2,4,B10,2200
0160038323,1,01,2,5,C05,2000
0160038323,1,01,2,4,B03,2250
0160038323,1,01,2,4,B00,5950
0160038409,1,01,1,6,D19,50
0160038409,1,01,1,6,D00,50
0160038410,1,01,1,4,B15,10560
0160038410,1,01,1,4,B11,1200
0160038410,1,01,1,4,B10,1400
0160038410,1,01,1,4,B09,600
0160038410,1,01,1,4,B06,8320
0160038410,1,01,1,4,B00,22080
0160038412,1,01,2,4,B00,15200
0160038412,1,01,2,4,B10,1300
0160038412,1,01,2,4,B07,3500
0160038412,1,01,2,4,B06,2400
0160038412,1,01,2,4,B02,8000
0160038803,1,01,2,5,C00,480
0160038803,1,01,2,5,C08,480
0160040524,1,01,1,4,B00,91000
0160040524,1,01,1,4,B06,24000
0160040524,1,01,1,4,B15,60000
0160040524,1,01,1,4,B10,2000
0160040524,1,01,1,4,B11,2000
0160040524,1,01,1,4,B09,3000
0160040715,1,01,1,4,B15,40000
0160040715,1,01,1,4,B18,6000
0160040715,1,01,1,4,B00,148500
0160040715,1,01,1,4,B01,17000
0160040715,1,01,1,4,B02,17000
0160040715,1,01,1,4,B03,17000
0160040715,1,01,1,4,B04,8400
0160040715,1,01,1,4,B05,1700
0160040715,1,01,1,4,B06,20000
0160040715,1,01,1,4,B09,8400
0160040715,1,01,1,4,B10,6500
0160040715,1,01,1,4,B11,6500
0160040717,1,02,2,4,B01,12000
0160040717,1,02,2,4,B00,70500
0160040717,1,02,2,4,B02,2000
0160040717,1,02,2,5,C13,20000
0160040717,1,02,2,5,C10,10000
0160040717,1,02,2,5,C09,10000
0160040717,1,02,2,5,C08,70000
0160040717,1,02,2,5,C07,100000
0160040717,1,02,2,5,C06,10000
0160040717,1,02,2,5,C04,10000
0160040717,1,02,2,4,B05,3000
0160040717,1,02,2,4,B06,12000
0160040717,1,02,2,4,B07,10000
0160040717,1,02,2,4,B09,3500
0160040717,1,02,2,4,B10,4000
0160040717,1,02,2,4,B11,4000
0160040717,1,02,2,4,B15,20000
0160040717,1,02,2,5,C00,250000
0160040717,1,02,2,5,C03,20000
0160064723,1,01,2,5,C13,13000
0160064723,1,01,2,5,C10,600
0160064723,1,01,2,5,C09,1600
0160064723,1,01,2,5,C08,100000
0160064723,1,01,2,5,C06,26000
0160064723,1,01,2,5,C05,1200
0160064723,1,01,2,5,C04,2000
0160064723,1,01,2,5,C00,144400
0160065414,1,01,2,5,C10,450
0160065414,1,01,2,4,B00,7600
0160065414,1,01,2,4,B02,5000
0160065414,1,01,2,4,B06,700
0160065414,1,01,2,4,B07,1000
0160065414,1,01,2,4,B11,900
0160065414,1,01,2,5,C00,1599
0160065414,1,01,2,5,C08,1149
0160065919,1,01,2,5,C09,700
0160065919,1,01,2,5,C10,1000
0160065919,1,01,2,5,C08,56800
0160065919,1,01,2,5,C06,2500
0160065919,1,01,2,5,C00,61000
0160066011,1,01,2,5,C10,200
0160066011,1,01,2,5,C07,3000
0160066011,1,01,2,5,C00,42800
0160066011,1,01,2,5,C08,39600
0160066724,1,02,1,5,C08,1680
0160066724,1,02,1,5,C00,1680
0160079911,1,01,1,4,B00,6700
0160079911,1,01,1,4,B02,3000
0160079911,1,01,1,4,B07,2700
0160079911,1,01,1,5,C10,360
0160079911,1,01,1,5,C00,63560
0160079911,1,01,1,5,C08,61200
0160079911,1,01,1,5,C09,2000
0160079911,1,01,1,4,B10,1000
0160083620,1,02,1,4,B09,500
0160083620,1,02,1,4,B02,6000
0160083620,1,02,1,4,B00,7300
0160083620,1,02,1,4,B07,200
0160083620,1,02,1,4,B11,600
0160083621,1,01,1,4,B06,3000
0160083621,1,01,1,4,B00,26400
0160083621,1,01,1,4,B15,23400
0160083624,1,02,1,6,D00,520
0160083624,1,02,1,6,D19,520
0160083707,1,01,1,4,B06,3000
0160083707,1,01,1,4,B02,15000
0160083707,1,01,1,4,B00,38000
0160083707,1,01,1,4,B11,2000
0160083707,1,01,1,4,B10,10000
0160083707,1,01,1,4,B07,8000
0160083710,1,01,1,5,C08,5000
0160083710,1,01,1,5,C19,115
0160083710,1,01,1,4,B00,4750
0160083710,1,01,1,4,B02,1600
0160083710,1,01,1,4,B06,1500
0160083710,1,01,1,4,B07,750
0160083710,1,01,1,5,C00,5115
0160083710,1,01,1,4,B15,900
0160083711,1,02,2,5,C07,2100
0160083711,1,02,2,5,C08,1560
0160083711,1,02,2,5,C10,750
0160083711,1,02,2,5,C00,4410
0160083712,1,02,2,5,C10,400
0160083712,1,02,2,5,C00,6460
0160083712,1,02,2,5,C08,5760
0160083712,1,02,2,5,C09,300
0160085407,1,01,2,4,B11,1200
0160085407,1,01,2,4,B10,1300
0160085407,1,01,2,4,B07,400
0160085407,1,01,2,4,B06,3760
0160085407,1,01,2,4,B02,19305
0160085407,1,01,2,4,B00,33465
0160085407,1,01,2,5,C07,8400
0160085407,1,01,2,5,C08,2640
0160085407,1,01,2,5,C00,11040
0160085407,1,01,2,4,B15,7500
0160085411,1,01,1,5,C00,181500
0160085411,1,01,1,4,B15,10000
0160085411,1,01,1,4,B11,2000
0160085411,1,01,1,4,B10,7000
0160085411,1,01,1,4,B09,2500
0160085411,1,01,1,5,C10,1500
0160085411,1,01,1,4,B06,3000
0160085411,1,01,1,4,B00,31700
0160085411,1,01,1,5,C01,5000
0160085411,1,01,1,5,C07,30000
0160085411,1,01,1,5,C08,145000
0160085411,1,01,1,4,B07,7200
0160099418,1,04,2,5,C00,11300
0160099418,1,04,2,5,C08,6000
0160099418,1,04,2,5,C07,3000
0160099418,1,04,2,5,C10,1500
0160099418,1,04,2,5,C03,800
0160099505,1,01,2,5,C10,100
0160099505,1,01,2,5,C08,8000
0160099505,1,01,2,5,C00,8100
0160108609,1,01,1,5,C08,84000
0160108609,1,01,1,4,B02,18000
0160108609,1,01,1,4,B07,2400
0160108609,1,01,1,4,B10,5500
0160108609,1,01,1,4,B11,600
0160108609,1,01,1,5,C13,15600
0160108609,1,01,1,5,C10,1500
0160108609,1,01,1,5,C09,2400
0160108609,1,01,1,4,B00,26500
0160108609,1,01,1,5,C06,12000
0160108609,1,01,1,5,C04,4000
0160108609,1,01,1,5,C00,119500
0160108611,1,01,1,5,C00,3840
0160108611,1,01,1,5,C08,3840
0160108819,1,01,2,4,B00,3410
0160108819,1,01,2,4,B06,1800
0160108819,1,01,2,4,B07,1610
0160108821,1,01,1,5,C09,3600
0160108821,1,01,1,5,C10,2000
0160108821,1,01,1,5,C08,120000
0160108821,1,01,1,5,C00,125600
0160108821,1,01,1,4,B15,111500
0160108821,1,01,1,4,B11,6760
0160108821,1,01,1,4,B10,4500
0160108821,1,01,1,4,B07,18000
0160108821,1,01,1,4,B06,20000
0160108821,1,01,1,4,B05,10000
0160108821,1,01,1,4,B04,4500
0160108821,1,01,1,4,B00,175260
0160108901,1,02,1,5,C10,1000
0160108901,1,02,1,5,C08,13000
0160108901,1,02,1,5,C07,4800
0160108901,1,02,1,5,C00,18800
0160108902,1,01,1,5,C05,120000
0160108902,1,01,1,5,C04,120000
0160108902,1,01,1,5,C00,1980000
0160108902,1,01,1,4,B10,35000
0160108902,1,01,1,4,B07,12000
0160108902,1,01,1,4,B02,30000
0160108902,1,01,1,4,B01,10000
0160108902,1,01,1,4,B00,87000
0160108902,1,01,1,5,C06,200000
0160108902,1,01,1,5,C08,1200000
0160108902,1,01,1,5,C09,50000
0160108902,1,01,1,5,C10,50000
0160108902,1,01,1,5,C13,240000
0160108903,1,02,1,4,B06,2000
0160108903,1,02,1,4,B02,3000
0160108903,1,02,1,5,C00,154000
0160108903,1,02,1,4,B00,8000
0160108903,1,02,1,4,B07,3000
0160108903,1,02,1,5,C08,100000
0160108903,1,02,1,5,C06,36000
0160108903,1,02,1,5,C04,12000
0160108903,1,02,1,5,C10,6000
0160108905,1,01,2,5,C07,1500
0160108905,1,01,2,5,C08,182000
0160108905,1,01,2,5,C09,7200
0160108905,1,01,2,4,B02,10000
0160108905,1,01,2,5,C10,3000
0160108905,1,01,2,4,B00,37200
0160108905,1,01,2,4,B03,10000
0160108905,1,01,2,4,B06,13000
0160108905,1,01,2,4,B07,4200
0160108905,1,01,2,5,C00,193700
0160122308,1,01,2,4,B00,4100
0160122308,1,01,2,4,B02,2500
0160122308,1,01,2,4,B11,400
0160122308,1,01,2,4,B10,400
0160122308,1,01,2,4,B07,800
0160122901,1,01,1,4,B00,3000
0160122901,1,01,1,4,B02,500
0160122901,1,01,1,4,B07,2500
0160122901,1,01,1,5,C00,17600
0160122901,1,01,1,5,C07,13000
0160122901,1,01,1,5,C08,2400
0160122901,1,01,1,5,C09,1200
0160122901,1,01,1,5,C10,1000
0160125411,1,01,1,4,B00,3775
0160125411,1,01,1,4,B07,400
0160125411,1,01,1,4,B08,1500
0160125411,1,01,1,4,B10,375
0160125411,1,01,1,4,B06,1500
0160125412,1,01,1,4,B11,26000
0160125412,1,01,1,4,B07,1500
0160125412,1,01,1,4,B02,12000
0160125412,1,01,1,4,B00,39500
0160125802,1,07,2,5,C10,800
0160125802,1,07,2,5,C08,3600
0160125802,1,07,2,5,C07,4800
0160125802,1,07,2,5,C00,9200
0160125802,1,01,2,4,B00,500
0160125802,1,01,2,4,B10,500
0160125805,1,08,1,5,C10,2000
0160125805,1,08,1,5,C09,5000
0160125805,1,08,1,5,C13,16000
0160125805,1,08,1,4,B00,1500
0160125805,1,08,1,4,B02,1000
0160125805,1,08,1,4,B11,500
0160125805,1,08,1,5,C08,5000
0160125805,1,08,1,5,C06,24000
0160125805,1,08,1,5,C04,1000
0160125805,1,08,1,5,C02,6000
0160125805,1,08,1,5,C00,59000
0160125806,1,01,1,5,C19,800
0160125806,1,01,1,5,C10,1000
0160125806,1,01,1,5,C08,26400
0160125806,1,01,1,5,C00,28200
0160146509,1,01,2,5,C08,12000
0160146509,1,01,2,5,C06,400
0160146509,1,01,2,5,C10,800
0160146509,1,01,2,5,C00,13200
0160146613,1,01,2,5,C08,31200
0160146613,1,01,2,5,C00,66228
0160146613,1,01,2,5,C07,10000
0160146613,1,01,2,5,C06,23028
0160146613,1,01,2,5,C10,2000
0160146614,1,02,1,5,C10,190
0160146614,1,02,1,5,C08,350
0160146614,1,02,1,5,C00,540
0160146615,1,01,2,5,C08,6000
0160146615,1,01,2,5,C00,6000
0160146817,1,01,1,4,B00,106800
0160146817,1,01,1,5,C10,3550
0160146817,1,01,1,5,C08,40000
0160146817,1,01,1,5,C00,43550
0160146817,1,01,1,4,B15,6000
0160146817,1,01,1,4,B11,4000
0160146817,1,01,1,4,B10,6000
0160146817,1,01,1,4,B09,18000
0160146817,1,01,1,4,B07,32800
0160146817,1,01,1,4,B02,20000
0160146817,1,01,1,4,B06,20000
0160146819,1,02,1,5,C07,8400
0160146819,1,02,1,5,C00,32800
0160146819,1,02,1,5,C08,24400
0160148203,1,01,1,4,B09,40000
0160148203,1,01,1,4,B11,24000
0160148203,1,01,1,4,B06,24000
0160148203,1,01,1,4,B00,88000
0160148223,1,01,1,4,B04,5000
0160148223,1,01,1,4,B00,124400
0160148223,1,01,1,4,B15,14400
0160148223,1,01,1,4,B11,5000
0160148223,1,01,1,4,B10,5000
0160148223,1,01,1,4,B09,50000
0160148223,1,01,1,4,B06,45000
0160148317,1,01,1,4,B02,6000
0160148317,1,01,1,4,B00,16800
0160148317,1,01,1,5,C09,600
0160148317,1,01,1,5,C08,6720
0160148317,1,01,1,5,C06,4800
0160148317,1,01,1,4,B06,4800
0160148317,1,01,1,4,B07,800
0160148317,1,01,1,4,B10,2500
0160148317,1,01,1,4,B11,1500
0160148317,1,01,1,4,B12,1200
0160148317,1,01,1,5,C00,12660
0160148317,1,01,1,5,C10,400
0160148317,1,01,1,5,C18,140
0160156017,1,03,2,5,C19,2160
0160156017,1,03,2,5,C00,7640
0160156017,1,03,2,5,C07,1500
0160156017,1,03,2,5,C08,3480
0160156017,1,03,2,5,C10,500
0160156018,1,01,1,4,B00,10660
0160156018,1,01,1,5,C00,5000
0160156018,1,01,1,4,B11,480
0160156018,1,01,1,4,B15,400
0160156018,1,01,1,4,B06,840
0160156018,1,01,1,4,B04,140
0160156018,1,01,1,5,C01,5000
0160156018,1,01,1,4,B10,1200
0160156018,1,01,1,4,B02,7600
0160156020,1,01,1,4,B00,8200
0160156020,1,01,1,4,B02,6300
0160156020,1,01,1,4,B10,500
0160156020,1,01,1,4,B15,600
0160156020,1,01,1,4,B07,800
0160156311,1,01,1,5,C09,500
0160156311,1,01,1,5,C02,2000
0160156311,1,01,1,5,C08,60000
0160156311,1,01,1,5,C10,1000
0160156311,1,01,1,5,C00,63500
0160156315,1,01,1,5,C10,3500
0160156315,1,01,1,5,C09,750
0160156315,1,01,1,5,C08,150000
0160156315,1,01,1,5,C03,10000
0160156315,1,01,1,5,C01,200000
0160156315,1,01,1,5,C00,364250
0160156315,1,01,1,4,B15,48000
0160156315,1,01,1,4,B11,600
0160156315,1,01,1,4,B10,6000
0160156315,1,01,1,4,B07,6000
0160156315,1,01,1,4,B04,10000
0160156315,1,01,1,4,B00,80600
0160156315,1,01,1,4,B02,10000
0160156404,1,03,1,4,B11,750
0160156404,1,03,1,4,B07,1000
0160156404,1,03,1,4,B06,20000
0160156404,1,03,1,4,B02,1000
0160156404,1,03,1,5,C00,167000
0160156404,1,03,1,5,C10,5000
0160156404,1,03,1,5,C08,100000
0160156404,1,03,1,5,C07,22000
0160156404,1,03,1,5,C01,40000
0160156404,1,03,1,4,B00,22750
0160156405,1,03,1,4,B02,10000
0160156405,1,03,1,4,B00,52500
0160156405,1,03,1,5,C10,2500
0160156405,1,03,1,5,C08,30000
0160156405,1,03,1,5,C00,32500
0160156405,1,03,1,4,B06,12000
0160156405,1,03,1,4,B07,3000
0160156405,1,03,1,4,B15,24000
0160156405,1,03,1,4,B11,1500
0160156405,1,03,1,4,B10,2000
0160156906,1,01,1,4,B06,15000
0160156906,1,01,1,4,B07,800
0160156906,1,01,1,4,B08,4000
0160156906,1,01,1,4,B10,6200
0160156906,1,01,1,4,B11,1600
0160156906,1,01,1,4,B15,30000
0160156906,1,01,1,5,C00,112500
0160156906,1,01,1,5,C01,50000
0160156906,1,01,1,5,C08,50000
0160156906,1,01,1,5,C09,1500
0160156906,1,01,1,5,C10,4000
0160156906,1,01,1,5,C13,7000
0160156906,1,01,1,4,B00,72600
0160156906,1,01,1,4,B02,7000
0160156906,1,01,1,4,B04,8000
0160159202,1,01,1,4,B00,21000
0160159202,1,01,1,4,B02,2000
0160159202,1,01,1,4,B04,3000
0160159202,1,01,1,4,B06,4000
0160159202,1,01,1,4,B07,2000
0160159202,1,01,1,4,B09,7000
0160159202,1,01,1,5,C10,2000
0160159202,1,01,1,5,C00,18300
0160159202,1,01,1,5,C01,4000
0160159202,1,01,1,5,C06,5000
0160159202,1,01,1,5,C08,7000
0160159202,1,01,1,5,C09,300
0160159202,1,01,1,4,B10,3000
0160159513,1,01,1,5,C08,90520
0160159513,1,01,1,5,C10,5000
0160159513,1,01,1,5,C06,5100
0160159513,1,01,1,5,C00,100620
0160159513,1,01,1,4,B00,28650
0160159513,1,01,1,4,B02,12000
0160159513,1,01,1,4,B06,7650
0160159513,1,01,1,4,B09,4200
0160159513,1,01,1,4,B10,3800
0160159513,1,01,1,4,B11,1000
0160159616,1,01,1,4,B11,1500
0160159616,1,01,1,4,B09,10260
0160159616,1,01,1,4,B06,20800
0160159616,1,01,1,4,B00,32560
0160167318,1,03,1,4,B00,21000
0160167318,1,03,1,4,B06,15000
0160167318,1,03,1,4,B09,4000
0160167318,1,03,1,4,B11,2000
0160167318,1,03,1,5,C13,10000
0160167318,1,03,1,5,C04,30000
0160167318,1,03,1,5,C08,55000
0160167318,1,03,1,5,C10,1000
0160167318,1,03,1,5,C00,96000
0160175316,1,02,1,5,C10,12000
0160175316,1,02,1,5,C08,62400
0160175316,1,02,1,5,C00,74400
0160175318,1,01,1,5,C06,90000
0160175318,1,01,1,5,C10,12000
0160175318,1,01,1,4,B00,40000
0160175318,1,01,1,4,B07,20000
0160175318,1,01,1,4,B09,20000
0160175318,1,01,1,5,C00,235000
0160175318,1,01,1,5,C08,100000
0160175318,1,01,1,5,C05,7000
0160175318,1,01,1,5,C04,7000
0160175318,1,01,1,5,C01,19000
0160175319,1,01,1,5,C00,173000
0160175319,1,01,1,5,C01,13000
0160175319,1,01,1,5,C04,10000
0160175319,1,01,1,5,C10,4000
0160175319,1,01,1,5,C08,120000
0160175319,1,01,1,5,C06,26000
0160175320,1,02,1,4,B10,5500
0160175320,1,02,1,4,B00,14000
0160175320,1,02,1,5,C10,1500
0160175320,1,02,1,5,C09,1800
0160175320,1,02,1,5,C08,105600
0160175320,1,02,1,5,C06,62400
0160175320,1,02,1,5,C04,40000
0160175320,1,02,1,5,C03,20000
0160175320,1,02,1,5,C01,12000
0160175320,1,02,1,5,C00,243300
0160175320,1,02,1,4,B11,5000
0160175320,1,02,1,4,B07,3500
0160175406,1,01,1,5,C01,20000
0160175406,1,01,1,5,C00,292000
0160175406,1,01,1,5,C02,40000
0160175406,1,01,1,4,B00,153000
0160175406,1,01,1,4,B01,20000
0160175406,1,01,1,4,B02,18000
0160175406,1,01,1,5,C08,200000
0160175406,1,01,1,4,B06,60000
0160175406,1,01,1,4,B07,14000
0160175406,1,01,1,4,B10,13000
0160175406,1,01,1,4,B11,10000
0160175406,1,01,1,5,C10,14000
0160175406,1,01,1,5,C09,18000
0160175406,1,01,1,4,B04,18000
0160175408,1,01,1,4,B00,28420
0160175408,1,01,1,4,B02,6000
0160175408,1,01,1,4,B04,1500
0160175408,1,01,1,4,B06,15600
0160175408,1,01,1,4,B07,1500
0160175408,1,01,1,4,B10,3120
0160175408,1,01,1,4,B11,700
0160175408,1,01,1,5,C00,122000
0160175408,1,01,1,5,C08,104000
0160175408,1,01,1,5,C10,18000
0160175911,1,01,1,5,C08,52000
0160175911,1,01,1,5,C06,15600
0160175911,1,01,1,5,C00,295600
0160175911,1,01,1,4,B15,80000
0160175911,1,01,1,4,B11,10000
0160175911,1,01,1,5,C13,208000
0160175911,1,01,1,4,B07,500
0160175911,1,01,1,4,B05,40000
0160175911,1,01,1,4,B04,10000
0160175911,1,01,1,4,B00,160500
0160175911,1,01,1,5,C10,20000
0160175911,1,01,1,4,B10,20000
0160175913,1,01,1,4,B15,5000
0160175913,1,01,1,5,C05,3000
0160175913,1,01,1,5,C00,322700
0160175913,1,01,1,4,B11,1500
0160175913,1,01,1,4,B10,3000
0160175913,1,01,1,4,B07,1800
0160175913,1,01,1,4,B06,10000
